"Tyranny for you","1991-00-00","CD"
"What the body does not remember","1989-00-00","CD"
"Land Of A Thousand Churches","2002-00-00","CD"
"Aftertouch","1991-00-00","CD"
"Plato's Highway","1991-00-00","CD"
"Ship Of Fools","1986-00-00","CD"
"I Remember You","1991-00-00","CD"
"De eerste jaren","1989-00-00","CD"
"Opper-rationeel","2002-00-00","CD"
"Op zoek naar romantiek","1989-00-00","CD"
"High Five","1991-00-00","CD"
"Dokter De Vuyst","1991-00-00","CD"
"Liedboeken deel 2: Edmond de Coussemaker","1992-00-00","CD"
"Naked And Still Hungry","1990-00-00","CD"
"The Best of Ferre Grignard","1991-00-00","CD"
"Urbanus' plezantste liedjes","1982-00-00","CD"
"Sommers 20","1991-00-00","CD"
"De plezantste liedjes","1997-00-00","CD"
"Enjoy","1997-00-00","CD"
"Een avond in Brussel","1990-00-00","CD"
"Urbanus Verzamelbox (De eerste jaren)","1990-00-00","CD"
"Blood & Thunder","1989-00-00","CD"
"The Insult","1991-00-00","CD"
"Royalty in exile","1990-00-00","Vinyl LP"
"Are you real","1991-00-00","CD"
"Gangbang + Rockery","1994-00-00","CD"
"Wash your mouth","1996-00-00","CD"
"Onder De Douche","1996-00-00","CD"
"Pure Lounge","2001-00-00","CD"
"Dankuwel!","1990-00-00","CD"
"Mooie dagen - 20 jaar liedjes","1989-00-00","CD"
"Gezongen landschap","1991-00-00","CD"
"La nuit est une sorcière","1991-00-00","CD"
"My Funny Valentine","1989-00-00","CD"
"Vaya Con Dios","1988-00-00","CD"
"Zap Mama","1991-00-00","CD"
"Golden Green","1995-00-00","CD"
"Take me down","1996-00-00","CD"
"Keinijg","1997-00-00","CD"
"Les Plus Grands Succès","1980-00-00","CD"
"Grand Jacques","1988-00-00","CD"
"La valse a mille temps","1988-00-00","CD"
"Khadja Nin","1992-00-00","CD"
"Les Flamands","1988-00-00","CD"
"Osez Joséphine","1991-00-00","CD"
"Ne me quitte pas","1988-00-00","CD"
"Quinze ans d'amour","1988-00-00","CD"
"Shopping for love","1991-00-00","CD"
"Now Dance","1997-00-00","CD"
"Tune in","1991-00-00","CD"
"Bokkesprongen","1991-00-00","CD"
"Knagend vuur","1992-00-00","CD"
"Electronic","1997-00-00","CD"
"Pop model","2000-00-00","CD"
"Where do we go","1993-00-00","CD"
"Slow-up","1991-00-00","CD"
"Poortenbos","1992-00-00","CD"
"Gorky","1992-00-00","CD"
"Baldassare Galuppi. Sonatas For Harpsichord","1994-00-00","CD"
"Apollo 2","1995-00-00","CD"
"Saturday","1996-00-00","CD"
"Living dead girls","1996-00-00","CD"
"Système D","1992-00-00","CD"
"If it blows (let it blow)","1991-00-00","CD"
"Perspective / Solis Lacus","1992-00-00","CD"
"Jacques Brel 5: Jef","1988-00-00","CD"
"12th Jazz Hoeilaart International","1990-00-00","CD"
"Le plat pays","1988-00-00","CD"
"Laser advice","1995-00-00","CD"
"J'arrive","1988-00-00","CD"
"Les marquises","1998-00-00","CD"
"Brel en public (Olympia '61)","1988-00-00","CD"
"Brel en public (Olympia '64)","1988-00-00","CD"
"Audiology of 15 years 1: Classic tunes","1998-00-00","CD"
"Close Harmony","1991-00-00","CD"
"Play it nice","1992-00-00","CD"
"Monologue","1996-00-00","CD"
"Hè Hè","1990-00-00","CD"
"Wit-lof from Belgium","1990-00-00","CD"
"Het beste van","1997-00-00","CD"
"Het beste van John Terra (Master Serie)","1997-00-00","CD"
"Op 1 Tegel Onder De Blauwe Maan","1997-00-00","CD"
"Concert Vanuit De Logos Te Gent","1997-00-00","DAT"
"De Afrekening","2001-00-00","CD"
"Ratata","1990-00-00","CD"
"Derroll Adams 65th. Birthday Concert","1991-00-00","CD"
"Bye my love","1992-00-00","CD"
"Table swimming","1992-00-00","CD"
"Rising Above Bedlam","1991-00-00","CD"
"Val Dood!","1999-00-00","CD"
"Concert","1992-00-00","CD"
"Burn fire burn","1992-00-00","CD"
"Les Plus Grands Succès D'adamo","1989-00-00","CD"
"Isabelle A ('91)","1991-00-00","CD"
"Cafard","1992-00-00","CD"
"Samson 2","1995-00-00","CD"
"The Figure One Cuts","1987-00-00","CD"
"The colour of sex","1992-00-00","CD"
"Now Dance","1995-00-00","CD"
"Plaisir d'amour","1992-00-00","CD"
"Mut@ge.Mix@ge","1995-00-00","CD"
"Humo's Rock Rally finale 1992","1992-00-00","CD"
"Jan De Wilde & Prima La Musica","1992-00-00","CD"
"The early years","1992-00-00","CD"
"Antler Tracks 2","1987-00-00","CD"
"Van op een afstand","1992-00-00","CD"
"Mijn allereerste successen","1991-00-00","CD"
"On the slab - A Dr. Olive experiment","1996-00-00","CD"
"Backfire","1990-00-00","CD"
"Collision Hype","1991-00-00","CD"
"De vergeten liekes","1996-00-00","CD"
"Lowlands Flight","1987-00-00","CD"
"Was het nu 70 of 80? Vol. 6","1998-00-00","CD"
"Hier komt de mededeling van de regering","1995-00-00","CD"
"De Rockfabriek '95","1995-00-00","CD"
"Global 851","1992-00-00","CD"
"Thirteen","1992-00-00","CD"
"Manneken Pis not war / Faisez la mouche pas la guêpe","1992-00-00","CD"
"Horny as hell","1988-00-00","CD"
"Hier in dit land","1992-00-00","CD"
"Ik ben met z'n tweeën","1992-00-00","CD"
"Demolition Funk","1992-00-00","CD"
"Hopes and Fears","1992-00-00","CD"
"She's an alien","1992-00-00","CD"
"Time. Stopped. Dead","1992-00-00","CD"
"Astamblief","1991-00-00","Vinyl LP"
"Ten Dans","1992-00-00","CD"
"Piano solo","1992-00-00","CD"
"Children Of Chaos","1992-00-00","CD"
"Catalogue","1992-00-00","CD"
"Het beste uit tien om te zien","1996-00-00","CD"
"Antler Tracks 1","1983-00-00","CD"
"Album 1","1992-00-00","CD"
"Kamook","1992-00-00","CD"
"Deep Creek Jazzuits","1987-00-00","CD"
"Vallen En Opstaan","1998-00-00","CD"
"Zeventien","1992-00-00","CD"
"Goe vollek","1996-00-00","CD"
"Shimmering, Warm & Bright","1992-00-00","CD"
"Bobby Jaspar in Paris","1987-00-00","CD"
"The sound of music","1992-00-00","CD"
"Trigger happy","1991-00-00","CD"
"Secret Story","1992-00-00","CD"
"Swing Guitar","1991-00-00","CD"
"Morgen","1991-00-00","CD"
"Ara Tribu","1989-00-00","CD"
"Hautes Fagnes","1992-00-00","CD"
"Humo's alle","1998-00-00","CD"
"Les Rythmes Automatiques","1989-00-00","CD"
"Orpheus Feeling","1992-00-00","CD"
"Een heel klein beetje oorlog","1992-00-00","CD"
"Last letter home","1992-00-00","CD"
"De Mens","1992-00-00","CD"
"All night long","1996-00-00","CD"
"Groepsfoto met dame","1992-00-00","CD"
"Zeven levens","1992-00-00","CD"
"Lenny","1995-00-00","CD"
"Op z'n sloefkes","1998-00-00","CD"
"Cores de lá","2004-00-00","CD"
"Moa vent toh!","1992-00-00","CD"
"Het beste van Stef Bos: Noord & Zuid","2000-00-00","CD"
"The Blues Bandits","1992-00-00","CD"
"Album 2","1992-00-00","CD"
"Vrij Zijn","1994-00-00","CD"
"Raging Souls","1985-00-00","CD"
"Het beste van La Esterella","1997-00-00","CD"
"2","1996-00-00","CD"
"Head Down","1992-00-00","CD"
"Andermans Herinnering","1992-00-00","CD"
"Ik ben een man, Susan","1996-00-00","CD"
"Masters Of Pop","1997-00-00","CD"
"Live","1993-00-00","CD"
"Regenboog","1992-00-00","CD"
"Where rivers join","1990-00-00","CD"
"Jij bent van mij","1992-00-00","CD"
"Nu je weggaat","1992-00-00","CD"
"New Wave Club Class.X","1992-00-00","CD"
"De mooiste kerstliederen","1992-00-00","CD"
"Fantastische Vrouw","1992-00-00","CD"
"Vlaanderen Klinkt","1991-00-00","CD"
"Laureen","1993-00-00","CD"
"Vanavond ga ik uit","1992-00-00","Vinyl 7''"
"Les Sixties","1993-00-00","CD"
"New Wave Club Class.X","1992-00-00","CD"
"Super 8 Trash","1996-00-00","CD"
"30 Jaar Fritz: De Hitz","1995-04-00","CD"
"Swallow","1996-00-00","CD"
"Casanova","1993-00-00","CD"
"Nature will provide","1995-03-24","CD"
"Concert Vanuit Het Conservatorium Te Kortrijk","2001-00-00","CD"
"Hitclub","1998-00-00","CD"
"Walking the thin line","1992-00-00","CD"
"Zeventien","1992-00-00","CD"
"Stap voor stap","1991-00-00","CD"
"Sixties","1993-00-00","CD"
"Elle danse seule","1992-00-00","CD"
"Greatest Hits","1992-00-00","CD"
"Letters en lawaai","1992-00-00","CD"
"Café B","1992-00-00","CD"
"Palomine","1992-00-00","CD"
"Formule Techno Volume 2","1997-00-00","CD"
"Live","1993-00-00","CD"
"Euro Pop","1998-00-00","CD"
"Disco-suppa-girl","1998-00-00","CD"
"From ape to zebra","1992-00-00","CD"
"Grand Guignol","1992-00-00","CD"
"Op zoek","1992-00-00","CD"
"In kleur","1993-00-00","CD"
"Mij wil jou","1992-00-00","CD"
"The Painted Room","1993-00-00","CD"
"She's my lover, she's my friend","1992-00-00","CD"
"My Impression","1992-00-00","CD"
"Samson","1991-00-00","CD"
"Wake Up","1992-00-00","CD"
"Graag traag!","1993-00-00","CD"
"Brsktg!","2000-00-00","CD"
"Het beste uit tien om te zien","1992-00-00","CD"
"Mama","1996-00-00","CD"
"Early spring","1992-00-00","CD"
"Op den duur","2003-02-25","CD"
"Uzed","1988-00-00","CD"
"Heatwave","1987-00-00","Vinyl LP"
"Nu of nooit","1990-00-00","CD"
"12 Vlaamse liedjes + 3 medleys","1992-00-00","CD"
"In de zin van mijn leven","1991-00-00","CD"
"Voor kinderen","1992-00-00","CD"
"Hit Club","2004-00-00","CD"
"Hart tegen hard","1992-00-00","CD"
"Shout","1992-00-00","Vinyl 12''"
"Radikal","1993-00-00","CD"
"Hard to forget","1991-00-00","CD"
"Elvis Belgisch","1992-00-00","CD"
"Blanc Marié","1992-00-00","CD"
"Keet in de lobby","1993-00-00","CD"
"Charles Camilleri. 6 Arabesques For Cello Solo","2000-00-00","CD"
"Sois Belle","2003-00-00","CD"
"The Curtain","1993-00-00","CD"
"Kids Awards","2004-00-00","CD"
"Two generations","1995-07-00","CD"
"Happy","1992-00-00","CD"
"Now Dance Hits 96","1996-00-00","CD"
"30 Jaar Paul Severs","1996-00-00","CD"
"Country roads","1993-00-00","CD"
"My Delicious Poisons","1991-00-00","CD"
"Stop de tijd","1993-00-00","CD"
"Het beste uit tien om te zien","1993-00-00","CD"
"De wind","1992-00-00","CD"
"A Campingflight to Lowlands Paradise","2000-00-00","CD"
"Oh no!","1992-00-00","CD"
"Building an empire","1992-00-00","CD"
"Live at the club","1996-00-00","CD"
"Zaalshow 2 Live!","1996-00-00","CD"
"Zing zelf 6 Samsonhits","1991-00-00","CD"
"Charles E. Ives. Songs","1993-00-00","CD"
"Christoph Graupner. Music for Chalumeau","1992-00-00","CD"
"Het allerbeste van Paul Severs","1993-00-00","CD"
"Het beste van Clouseau","1993-00-00","CD"
"The Love Trip","1993-00-00","CD"
"06:21:03:11 up evil","1993-00-00","CD"
"Play it! Vol.2","1993-00-00","CD"
"De musette","1993-00-00","CD"
"Phantasia Forever","1993-00-00","CD"
"Al ons plezantste","1992-00-00","CD"
"Hideaway","1989-00-00","CD"
"J.A. HASSE. REQUIEM, MISERERE","1993-00-00","CD"
"Hitbox 19","1999-00-00","CD"
"Eddy Louiss Trio","1999-00-00","CD"
"Mussorgski, Debussy, De Leeuw, Reger, Bernstein. Songs","1993-00-00","CD"
"Keinijg","1996-00-00","CD"
"You can't heat the ceiling","1993-00-00","CD"
"Kinky when she kisses","1992-00-00","CD"
"\"la Rosa\" - Works For Guitar","1993-00-00","CD"
"Summerhits Top 100","1997-00-00","CD"
"Full Moon Rhapsodies","1996-00-00","CD"
"C'est Arrivé Près De Chez Vous","1992-00-00","CD"
"Red onze planeet","1992-00-00","CD"
"Façonne-moi","1992-00-00","CD"
"Tombe La Neige","1993-00-00","CD"
"Twice a day","2002-00-00","CD"
"Jommeke 1","1997-00-00","CD"
"De Rechtvaardige Rechters","1996-00-00","CD"
"Tous Les Tubes","1992-00-00","CD"
"Waar is het gevoel","1996-00-00","CD"
"Waar ik voor leef","1993-00-00","CD"
"Live","1974-00-00","Vinyl LP"
"Blank of zwart","1991-00-00","CD"
"In the eye","1993-00-00","CD"
"Lang zullen ze leven","1995-00-00","CD"
"New Wave Club Class.X","1992-00-00","CD"
"Het beste uit tien om te zien","1992-00-00","CD"
"Rock Garden","1996-00-00","CD"
"Le rap des clubs","1996-00-00","CD"
"Only disappointment","1993-00-00","CD"
"Mijn goedgebouwde meisje","1993-00-00","CD"
"The Armstrong mutations","2003-05-00","CD"
"Live","1992-00-00","CD"
"Mijn favoriete hits","1991-00-00","CD"
"Meisje met het ijsje","1992-00-00","CD"
"Mag ik es even...?","1993-00-00","CD"
"Picture a view","1991-00-00","CD"
"The Messier Album","1990-00-00","CD"
"Mannen maken plannen","1993-00-00","CD"
"Utile","1992-00-00","CD"
"Black Box","1992-00-00","CD"
"Thorn of the living","1997-00-00","CD"
"Nie Neute","1995-00-00","CD"
"Werelduniek","1998-00-00","CD"
"China","1992-00-00","CD"
"Tribal dance","1993-00-00","CD"
"Raising the roof","1992-00-00","CD"
"Takes & mistakes","1992-00-00","CD"
"Phenilisopropilamine","1988-00-00","CD"
"Update Live","1992-00-00","CD"
"Hot And Soul","1989-00-00","CD"
"Revolution 2000","1996-00-00","CD"
"Natural Born Techno","1996-00-00","CD"
"New Wave Club Class.X","1995-00-00","CD"
"Top Hits Top 100","1999-00-00","CD"
"Ben je daar vannacht","1992-00-00","CD"
"Eldorado","1989-00-00","CD"
"De vogel in de muite","1990-00-00","CD"
"Original hits","1994-00-00","CD"
"Quartets","1992-00-00","CD"
"Poolijskap","1991-00-00","CD"
"Midnight","1990-00-00","CD"
"Neem m'n hand","1992-00-00","CD"
"De hemel nooit beloofd","1992-00-00","CD"
"Layla","1991-00-00","CD"
"Franc' Amour","1992-00-00","CD"
"Time flies","1992-00-00","CD"
"Play it!","1992-00-00","CD"
"Come inside","1992-00-00","CD"
"Soukous Siren","1991-00-00","CD"
"Knuffelchansons","2002-00-00","CD"
"Everything But Antartica","1990-00-00","CD"
"Sex en dialoog","1992-00-00","CD"
"New Wave Club Class.X","1996-00-00","CD"
"Small traces of life","1992-00-00","CD"
"Het beste van","1990-00-00","CD"
"Zo ben ik en zo blijf ik","1992-00-00","CD"
"Rock 'n' Roll Party Hits","1995-00-00","CD"
"Mustafa","1991-00-00","CD"
"Fourplay","1992-00-00","CD"
"Dream on fire","1996-10-20","CD"
"Illusions Sensorielles","1993-00-00","CD"
"Boom!","1992-00-00","CD"
"Weet Je Nog Wel","1985-00-00","CDR"
"Hot Shot Town","1993-00-00","CD"
"W.A. MOZART. SONATES VOOR VIOOL EN PIANO","1993-00-00","CD"
"Where's the sun?","1995-00-00","CD"
"Idiots savants","1993-00-00","CD"
"Einfach","1993-00-00","CD"
"Blues you could use","1992-00-00","CD"
"Beaster Ep","2005-00-00","CD"
"Aka Moon","1992-00-00","CD"
"25 All time Popcorn hits vol.2","1991-00-00","CD"
"Toots 75","1997-00-00","CD"
"Van op de hoge brug","1992-00-00","CD"
"Muziekdoos","1997-00-00","CD"
"Shot and echo","1992-00-00","CD"
"A sense of place","1992-00-00","CD"
"Donnamour","1996-00-00","CD"
"Sketches of Belgium","1993-00-00","CD"
"Pastorale","1988-00-00","CD"
"Parlami d'amore","1993-00-00","CD"
"The Drum Fondu","1992-00-00","CD"
"De Afrekening","2000-00-00","CD"
"Marockin' Antwerp","1993-00-00","CD"
"Twist et rock","1991-00-00","CD"
"Best of harmonika mood","1996-00-00","CD"
"Kompleet","1992-00-00","CD"
"De Elegasten verzameld","1992-00-00","CD"
"Miel Cools verzameld","1992-00-00","CD"
"Vijf Jaar Hits","1993-00-00","CD"
"Help mij","1993-00-00","CD"
"Disappointed Wannabees","1999-00-00","CD 3''"
"Was Het Nu 70 Of 80?","1997-00-00","CD"
"Here's the CD!","1990-00-00","CD"
"Hart & Ziel","1996-05-00","CD"
"Ergens op den buiten","1992-00-00","CD"
"De Afrekening","1993-00-00","CD"
"Levend Wild","1996-00-00","CD"
"Metropool","1993-00-00","CD"
"Levend En Wel","1993-00-00","CD"
"TMF Hitzone","1998-00-00","CD"
"Sunny Summerhits","1996-00-00","CD"
"Daens","1992-00-00","CD"
"Café met rooi gordijnen","1992-00-00","CD"
"Jij doet me leven!","1993-00-00","CD"
"Kwaliteiten","1993-00-00","CD"
"Half Out","1992-00-00","CD"
"Different voices","1993-00-00","CD"
"Boterhammen","1992-11-00","CD"
"Back To Civilization","1993-00-00","CD"
"Cone Of Confusion","1996-00-00","CD"
"Sacrifice","1993-00-00","CD"
"De weg kwijt","1993-00-00","CD"
"Italienische Oboenkonzerte","1993-00-00","CD"
"Take my breath away","1993-00-00","CD"
"Manoewella","1993-00-00","CD"
"Religion","1993-00-00","CD"
"Gerard Vermeersch","1999-00-00","CD"
"Hit Connection 98","1998-00-00","CD"
"Jij en ik","1987-00-00","Vinyl LP"
"L'harmonium Français. Bizet, Berlioz, Rossini, Lefebure-wely, Boëllmann, Guilmant, Mouquet, Mustel.","1993-00-00","CD"
"Duo","1993-00-00","CD"
"Het is Kerstmis","1993-00-00","CD"
"Marc-henri Cykiert. Capriccio Hassidico","1991-00-00","CD"
"Le temps perdu","2000-00-00","CD"
"Crossworlds","2001-09-00","CD"
"Top Hits","1999-00-00","CD"
"I wanna be a popstar","1999-00-00","CD"
"Cerca de ti","1999-00-00","CD"
"Issues","2004-02-16","CD"
"Home","1988-00-00","CD"
"Silent Conversation","1993-00-00","CD"
"Mee met de zon","1991-00-00","CD"
"De grootste successen","1998-00-00","CD"
"Buried In Eden","1989-00-00","CD"
"The Collection","1997-00-00","CD"
"Debussy: Arrangements For 2 Pianos","1993-00-00","CD"
"Dag allemaal!","1993-00-00","CD"
"Daydream","1999-00-00","CD"
"Decreate","1996-11-00","CD"
"Floating Foundation","2002-00-00","CD"
"Highrise","1990-00-00","CD"
"Best Dance 1/97","1997-00-00","CD"
"J.B. VANHAL. CONCERTOS FOR CLARINET, OBOE AND BASSOONS","2003-00-00","CD"
"Bumpy Road","1996-00-00","CD"
"Kustom Kar Kompetition","1991-00-00","CD"
"Experiment In Terror","1990-00-00","CD"
"Een Liefde Vol Lappen En Sleet","1993-00-00","CD"
"Fontyn. Oeuvre Pour Piano","1988-00-00","CD"
"Claude Debussy - Jos Van Immerseel - Piano","1993-00-00","CD"
"Smurfenhits!","1996-00-00","CD"
"Vijf Jaar Hits","1996-00-00","CD"
"Duets","1997-00-00","CD"
"Always on the run","1993-00-00","CD"
"De zevende hemel","1993-00-00","CD"
"No limits!","1993-00-00","CD"
"Soundtrack voor het aquarium","1993-00-00","CD"
"On Air Flight","1997-00-00","CD"
"Jacques Brel raconté aux enfants par Jean-Paul Sermonte","1994-00-00","CD"
"Tura's grootste hits (1973-1993)","1993-00-00","CD"
"Hit Connection 97/1","1997-00-00","CD"
"Joseph Jongen. Comala, Clair De Lune","2004-00-00","CD"
"The wide album","2003-03-00","CD"
"In 't staminee","1980-00-00","CD"
"Euphoric","2004-04-00","CD"
"Let's Take One More...","1993-00-00","CD"
"Tenement Symphony","1991-00-00","CD"
"Bip-hop Generation","2000-00-00","CD"
"Het beste van Paul Severs nr.1","1993-00-00","CD"
"Selectie","1990-00-00","CD"
"Clipper","1996-00-00","CD"
"Kerstmis in Vlaanderen (1995)","1995-00-00","CD"
"A feeling of déjà vu","1996-00-00","CD"
"Lynx","1993-00-00","CD"
"Nooit meer alleen","1995-00-00","CD"
"L'étranger c'est mon ami","1993-00-00","CD"
"Les Derniers Guerriers Romantiques","1991-00-00","CD"
"The Only Thing","1991-00-00","CD"
"Lieve Mama","1997-00-00","CD"
"Party House Hits","1996-00-00","CD"
"Vintage","1996-00-00","CD"
"Muziekdoos","1996-00-00","CD"
"Rock Garden","1996-00-00","CD"
"Alles wat telt","2003-00-00","CD"
"Concert Vanuit Het Paleis Voor Schone Kunsten Te Brussel","2001-00-00","CD"
"Dark Entertainment","1993-00-00","CD"
"Inspire Me","1992-00-00","CD"
"G. Devreese - P. Van Eechaute - Flemish String Quartets","1993-00-00","CD"
"Megabite","1995-00-00","CD"
"Asshole","1993-00-00","CD"
"Rock 'n roll in mijn hart","1991-00-00","CD"
"Als jij dat wil","1993-00-00","CD"
"Jacques Brel - 2cd collection","1990-00-00","CD"
"Twijfels","1992-00-00","CD"
"I'm so lonesome I could cry","1992-00-00","CD"
"Shout","1992-00-00","CD"
"God's private devil","1992-00-00","CD"
"Concert Vanuit Het Elzenhof Te Brussel","1997-00-00","DAT"
"Dog days are over","1993-00-00","CD"
"Jurassic Dance","1993-00-00","CD"
"Lodewijk Mortelmans. Piano Music","2002-00-00","CD"
"Leave the story untold","1996-04-12","CD"
"Clockwork","1996-00-00","CD"
"De vrienden van vroegere jaren!","1996-00-00","CD"
"De Mooiste Accordeonfavorieten","1992-00-00","CD"
"Kolokol","1992-00-00","CD"
"Vergeet-me-nietjes","1995-00-00","CD"
"Growing pains","1997-00-00","CD"
"Het beste van Margriet Hermans (Master Serie)","1997-00-00","CD"
"Dicht Bij Jou","1996-00-00","CD"
"Het beste van Bobbejaan Schoepen (Vol. 1)","1991-00-00","CD"
"Het beste van Bobbejaan Schoepen (Vol. 2)","1991-00-00","CD"
"States","1991-00-00","CD"
"Bart Kaëll","1989-00-00","CD"
"Bicycle called love","1993-00-00","CD"
"Eurovision Song Contest Riga 2003","2003-00-00","CD"
"Right Now","2002-00-00","CD"
"Het beste van Ann Christy","1989-00-00","CD"
"Cuba & Aruba","1995-00-00","CD"
"Killed by charity","1994-00-00","CD"
"35 Jaar Strangers","1987-00-00","CD"
"Close cover","1986-00-00","CD"
"Franz Schubert; Tänze, Walser","1993-00-00","CD"
"Geef hen je vet","1996-00-00","CD"
"Darkest blend","1996-00-00","CD"
"40 Jaar - 40 Liekes","1991-00-00","CD"
"Rhythm of the world","1993-00-00","CD"
"Colour blind","1993-00-00","CD"
"I Love Techno","1997-00-00","CD"
"Hou van mij","1990-00-00","CD"
"Tarsando Ma Non Troppo","1996-00-00","CD"
"Gouden Tanden","1993-00-00","CD"
"Hier waken wij","1993-00-00","CD"
"So Long Ago","1992-00-00","CD"
"Koko Flanel","1990-00-00","CD"
"Myriam Fuks","1993-00-00","CD"
"Havin'a Good Time","1993-00-00","CD"
"Serenade","1993-00-00","CD"
"Walking the wire","1993-00-00","CD"
"Carnival of the heart","1993-00-00","CD"
"J.S. BACH: KANTATEN","1993-00-00","CD"
"Een uur met Tura","1997-00-00","CD"
"Het beste van Willy Sommers","1995-00-00","CD"
"State of Independents - The singles","1993-00-00","CD"
"Moniekske","1996-00-00","CD"
"Musica Per Due Cembali","1993-00-00","CD"
"Oh Happy Day","1993-00-00","CD"
"The best of Blanchart","1993-00-00","CD"
"Parfum d'amour","1993-00-00","CD"
"A La Mode","1996-00-00","CD"
"Windkracht 10","1997-00-00","CD"
"Nooit Zonder Jou","1993-00-00","CD"
"Serious Beats","1992-00-00","CD"
"Galileo's Left Wing (Live)","1993-00-00","CD"
